Country_Name,Country_Code,Education,Military,Health_care,GDP
Afghanistan,AFG,,1.778592618,,
Albania,ALB,3.340600014,1.528266338,6.00014389,4508
Algeria,DZA,,4.325836241,3.83786516,8416
American Samoa,ASM,,,,
Andorra,AND,,,5.78874692,
Angola,AGO,,3.495619369,5.38455772,3131
Antigua and Barbuda,ATG,,,4.48439049,14907
Arab World,ARB,,5.089546747,4.390708994,9248
Argentina,ARG,4.833740234,0.759933854,9.37589012,11437
Armenia,ARM,2.469439983,3.853946441,5.94041648,2605
Aruba,ABW,4.739490032,,,
Australia,AUS,,1.828989321,8.17867869,27398
Austria,AUT,5.586349964,0.794737315,10.11903601,29856
Azerbaijan,AZE,3.503420115,4.670135555,4.48244097,3942
Bahamas. The,BHS,,,5.14618628,21131
Bahrain,BHR,,3.558422317,3.79531921,36005
Bangladesh,BGD,2.171930075,0.001458662,2.46995061,1375
Barbados,BRB,5.935090065,,5.47182997,11386
Belarus,BLR,,1.266061758,6.62474592,6245
Belgium,BEL,5.843289852,1.043507621,8.29205205,29198
Belize,BLZ,5.796929836,1.03693566,4.50244268,5741
Benin,BEN,3.232350111,,4.68672761,1361
Bermuda,BMU,,,,43976
Bhutan,BTN,5.71780014,,5.91345001,3064
Bolivia,BOL,5.899459839,1.684120001,6.31154371,3570
Bosnia and Herzegovina,BIH,,1.137368298,7.16021767,4661
Botswana,BWA,,2.357962199,5.72932944,8296
Brazil,BRA,3.843029976,1.412730488,7.19063692,9182
British Virgin Islands,VGB,,,,
Brunei Darussalam,BRN,,2.488536112,3.05915827,61062
Bulgaria,BGR,3.395750046,1.455681435,7.23446648,6895
Burkina Faso,BFA,,1.294759759,4.85203751,878
Burundi,BDI,2.903909922,,4.96067407,574
Cabo Verde,CPV,,0.523241665,5.18842561,3091
Cambodia,KHM,1.724030018,1.497788708,5.70229312,1176
Cameroon,CMR,2.609950066,1.306930983,4.70069873,1984
Canada,CAN,4.988629818,1.196083782,9.09586921,30086
Caribbean small states,CSS,4.24003005,,5.120106485,9153
Cayman Islands,CYM,,,,
Central African Republic,CAF,,,3.94971705,694
Central Europe and the Baltics,CEB,5.08804512,1.417384505,6.158684282,10788
Chad,TCD,2.42614007,5.015529644,6.08614845,865
Channel Islands,CHI,,,,
Chile,CHL,,2.168819381,6.50868916,10249
China,CHN,,1.841410752,4.55782328,3205
Colombia,COL,3.708679914,3.072783411,5.96000372,6750
Comoros,COM,,,2.85941954,1145
Congo. Dem. Rep.,COD,,1.001246892,2.66685774,399
Congo. Rep.,COG,,,2.43633674,3819
Costa Rica,CRI,4.706130028,0,7.24688126,7705
Cote d'Ivoire,CIV,3.668679953,1.407830664,4.84648676,2367
Croatia,HRV,,1.777820659,7.16206455,11793
Cuba,CUB,8.357850075,3.084498741,6.27017609,9414
Curacao,CUW,,,,
Cyprus,CYP,5.149650097,1.770947834,5.78263528,22353
Czech Republic,CZE,3.756789923,1.088504171,6.42218784,17650
Denmark,DNK,8.215419769,1.32316718,9.10017962,30247
Djibouti,DJI,7.805399895,,5.37254273,1723
Dominica,DMA,,,4.61495217,6653
Dominican Republic,DOM,2.023699999,0.600695405,5.59412454,6540
Early-demographic dividend,EAR,4.347380161,2.198597978,5.354358265,4034
East Asia & Pacific (excluding high income),EAP,2.743324995,1.689132403,4.19587497,3529
East Asia & Pacific (IDA & IBRD countries),TEA,2.743324995,1.689132403,4.19587497,3567
East Asia & Pacific,EAS,3.571290016,1.578135686,6.548825905,5934
Ecuador,ECU,,3.095110057,3.85795035,6120
Egypt. Arab Rep.,EGY,,1.931587776,5.75054527,6227
El Salvador,SLV,,0.953800942,8.01874114,5267
Equatorial Guinea,GNQ,,,1.78308363,14935
Eritrea,ERI,4.047160149,,3.94880121,1374
Estonia,EST,5.236480236,1.679902902,4.85382046,10548
Ethiopia,ETH,3.700289965,1.090707446,4.26258377,528
Euro area,EMU,5.335050106,1.554540325,9.01275187,26342
Europe & Central Asia (excluding high income),ECA,3.290529966,2.794582821,5.464822207,6369
Europe & Central Asia (IDA & IBRD countries),TEC,3.340600014,2.655257453,5.591428953,6829
Europe & Central Asia,ECS,4.680490017,1.796283989,8.441684895,16638
European Union,EUU,5.236480236,1.640620185,8.590009155,23751
Faroe Islands,FRO,,,,
Fiji,FJI,5.617139816,1.610401123,3.28148396,5824
Finland,FIN,5.847970009,1.369946513,7.42501005,27541
Fragile and conflict affected situations,FCS,,2.918013543,5.330327896,2561
France,FRA,5.417029858,2.256658139,9.88690294,27427
French Polynesia,PYF,,,,
Gabon,GAB,,1.46243423,3.2299484,14381
Gambia. The,GMB,1.158100009,,3.70840054,1301
Georgia,GEO,2.137500048,3.247606292,7.81612364,2796
Germany,DEU,,1.281112196,10.15409317,27725
